institution,program
George Brown College,Advanced Risk communication in a Disaster
George Brown College,Business Continuity
George Brown College,Disaster Management
George Brown College,Exercise Design
George Brown College,Incident Management System
George Brown College,Leadership in Public Service
George Brown College,Public Health in Emergency Management
Reeves College,Child and Youth Services Worker
Heritage College,Accounting Principles and Software Applications
Heritage College,Bilingual Office Administration
O'Sullivan College of Montreal,Informatics Management and Internet Programming
O'Sullivan College of Montreal,Network Management
Herzing College,Techniques of Sustainable Architecture
Herzing College,Interior Design
Trent University - Peterborough Campus,Bachelor of Business Administration (BBA)  Co-op
Herzing College,Business Administraton (Marketing and Sales)
Herzing College,Business and International Commerce Import/Export
CDI College (Montreal),Judicial techniques
Herzing College,Microcomputer and Networking Systems
Herzing College,Programmer Analyst
Heritage College,Web and Desktop Programming
Herzing College,Early Childhood Education
CDI College (Montreal),Special Care Councelling
Herzing College,Computer-Aided Design and Drafting
Teccart Institution,Paralegal technology AEC
Carleton University,ACT to Employ
First Nations University of Canada,Administration
University of Alberta,Agriculture/Forestry
George Brown College,Applied Business
Brandon University,Applied Disaster and Emergency Studies
Medicine Hat College,Applied Ecotourism and Outdoor Leadership (ETOL)
St. Francis Xavier University,Aquatic Resources
University of Lethbridge,Archaeology & Geography
Carleton University,Architectural Studies
First Nations University of Canada,Art
Thompson Rivers University,Art
Thompson Rivers University,Biology
Algonquin College of Applied Arts and Technology (Ottawa),Building Sciences
University of Windsor,Business / Computer Science
Algoma University,Business Administration
Memorial University of Newfoundland,Business
Carleton University,Cognitive Science 
Laurentian University,Commerce
University of Alberta,Commerce
Carleton University,Communications and Media Studies
Algoma University,Community Economics and Social Development
Okanagan College ,Computer Information Systems
St. Francis Xavier University,Computer Information Systems
University of Windsor,Computer Information Systems
Mount Royal University,Computer Information Systems
Algoma University,Computer Science 
Dalhousie University,Computer Science 
Thompson Rivers University,Computing Science
University of Ottawa,Conflict Studies and Human Rights
Seneca College,Crime and Intelligence Analysis
Carleton University,Criminology and Criminal Justice
Vancouver Island University,Criminology
Conestoga College,Design
Humber College,Digital Business Management
York University,Disaster and Emergency Management
St. Francis Xavier University,Earth Sciences
Conestoga College,Electronic Systems Engineering
Red River College,Engineering
University of Alberta,English and creative writting
Thompson Rivers University,Environmental Chemistry
Concordia University of Edmonton,Environmental Health
University of Manitoba,Environmental Science
University of Manitoba,Environmental Studies
Ontario Tech University,Finance
Memorial University of Newfoundland,Food Technology
British Columbia Institute of Technology (BCIT),Forensic investigation
Ontario Tech University,Game development and Entrepreneurship
University of Saskatchewan,"Geography, Planning and Geographic Information Systems"
Carleton University,Global Politics
Carleton University,Global Politics
Laurentian University,Health Promotion
Algonquin College of Applied Arts and Technology (Ottawa),Hospitality and Tourism  Management
University of British Columbia - Okanagan Campus,Human Kinetics
York University,Human Resources Management
Humber College,Human Resources Management
Laurentian University,Indigenous Social Work
Carleton University,Industrial Design
Sheridan College,Information Systems Security
British Columbia Institute of Technology (BCIT),Information Technology
British Columbia Institute of Technology (BCIT),Interactive arts
Royal Roads University,Interdisciplinary Studies
Algonquin College of Applied Arts and Technology (Ottawa),Interior Design
Seneca College,International Business Management
Humber College,International Development
Humber College,International Development
University of Saskatchewan,International Studies
University of British Columbia - Vancouver Campus,Kinesiology 
Memorial University of Newfoundland,Kinesiology 
Laurentian University,Kinesiology 
British Columbia Institute of Technology (BCIT),Management and Technology
Concordia University of Edmonton,Management
Carleton University,Media Production and Design
University of British Columbia - Okanagan Campus,Media Studies
Vancouver Island University,Natural Resource Protection
Thompson Rivers University,Natural Resource Science
Ontario Tech University,Network and Information Technology Security
Brock University,Oenology and Viticulture
University of Windsor,Operational Research
Laurentian University,Outdoor Adventure Leadership
University of New Brunswick - Fredericton Campus,Philosophy in Interdisciplinary Leadership
Memorial University of Newfoundland,Physical Education
Thompson Rivers University,Physics
Georgian College  ,Police Studies
Algoma University,Psychology
York University,Public Administration
Carleton University,Public Affairs and Policy Management
McMaster University,Public Policy Analysis
University of Waterloo,Public Policy Analysis
University of New Brunswick - Saint John Campus,Public Policy Analysis
Memorial University of Newfoundland,Public Policy Analysis
University of Calgary,Public Policy Analysis
University of Manitoba,Public Policy Analysis
York University,Public Policy Analysis
University of Alberta,Public Policy Analysis
Western University,Public Policy Analysis
University of Saskatchewan,Public Policy Analysis
University of New Brunswick - Fredericton Campus,Public Policy Analysis
University of British Columbia - Vancouver Campus,Public Policy Analysis
University of Guelph,Public Policy Analysis
University of Ottawa,Public Policy Analysis
The King's University,Public Policy Analysis
University of Toronto,Public Policy Analysis
McGill University ,Public Policy Analysis
Mount Allison University,Public Policy Analysis
Mount Saint Vincent University,Public Policy Studies
Mount Saint Vincent University,Public Relations
Conestoga College,Public Relations
Memorial University of Newfoundland,Recreation
University of Victoria,Social Work 
Memorial University of Newfoundland,Social Work
Laurentian University,Sports Administration
Mount Saint Vincent University,Tourism and Hospitality Management
Cape Breton University,Tourism and Hospitality Management
Brock University,Tourism Management
University of British Columbia - Okanagan Campus,Visual Arts
University of British Columbia - Okanagan Campus,"Visual, Digital & Performance"
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Culinary Arts and Food Science (Honours)
Sheridan College,Honours Bachelor of Animation
Sheridan College,Honours Bachelor of Craft & Design (Ceramics)
Sheridan College,Honours Bachelor of Craft & Design (Furniture)
Sheridan College,Honours Bachelor of Craft & Design (Glass)
Sheridan College,Honours Bachelor of Craft & Design (Industrial Design)
Sheridan College,Honours Bachelor of Craft & Design (Textile)
Sheridan College,Honours Bachelor of Film & Television
Sheridan College,Honours Bachelor of Game Design
Sheridan College,Honours Bachelor of Illustration
Sheridan College,Honours Bachelor of Interaction Design
Sheridan College,Honours Bachelor of Interior Design
Fanshawe College,Honours Bachelor of Interior Design
Sheridan College,Honours Bachelor of Photography
Fanshawe College,Integrated Land Planning Technologies
Lethbridge College,Justice Studies
University of Guelph-Humber,"Media, Communications and Digital communications"
University of Guelph-Humber,"Media, Communications and Media Business"
University of Guelph-Humber,"Media, Communications and Public Relations"
University of Guelph-Humber,"Media, Communications, Image arts"
Humber College,Paralegal Studies
University of Calgary,Visual Studies
University of Guelph,Adult Development
Olds College,Agribusiness
University of the Fraser Valley,Agricultural Science
Wilfrid Laurier University,Applied Water Science
University of Waterloo,Architectural Engineering
University of British Columbia - Vancouver Campus,"Bachelor of Design in Architecture, Landscape Architecture, and Urbanism"
University of Waterloo,Biomedical Engineering
Simon Fraser University,Biomedical Engineering
University of British Columbia - Vancouver Campus,Biomedical Engineering
University of Winnipeg,Biotechnology
McMaster University,Business Informatics
University of British Columbia - Vancouver Campus,Chemical and Biological Engineering
University of British Columbia - Vancouver Campus,Chemical Engineering
University of Ottawa,Chemical Engineering
University of Waterloo,Chemical Engineering
University of Toronto,Chemical Engineering
University of Guelph,"Child, Youth & Family"
University of British Columbia - Okanagan Campus,Civil Engineering
University of British Columbia - Vancouver Campus,Civil Engineering
University of Ottawa,Civil Engineering
University of Waterloo,Civil Engineering
University of British Columbia - Vancouver Campus,Computer Engineering
University of Ottawa,Computer Engineering
Simon Fraser University,Computer Engineering
University of Waterloo,Computer Engineering
McMaster University,Computer Science 
Lethbridge College,Conservation Enforcement
Wilfrid Laurier University,Data Science
University of Winnipeg,"Ecology, Microbiology, Biochemistry, Genetics, Zoology, Chemisty"
University of British Columbia - Vancouver Campus,Electrical Engineering
University of Ottawa,Electrical Engineering
University of British Columbia - Okanagan Campus,Electrical Engineering
University of Waterloo,Electrical Engineering
University of Regina,Electronic Systems Engineering
Simon Fraser University,Electronics Engineering
University of British Columbia - Vancouver Campus,Engineering Physics
Simon Fraser University,Engineering Physics
University of Toronto,Engineering
University of Winnipeg,Environmental Chemistry
University of Waterloo,Environmental Engineering
University of British Columbia - Vancouver Campus,Environmental Engineering
University of Northern British Columbia,Environmental Engineering
Lakeland College,Environmental Management
University of Winnipeg,Environmental Sustainability
University of Regina,Environmental Systems Engineering
University of Waterloo,Geological Engineering
University of British Columbia - Vancouver Campus,Geological Engineering
Olds College,Golf Course Management
Fanshawe College,Honours Bachelor of Applied Technology - Biotechnology
University of Winnipeg,Industrial Chemistry
University of Regina,Industrial Systems Engineering
University of British Columbia - Vancouver Campus,Integrated Engineering
University of Guelph-Humber,Justice Studies
Olds College,Landscape Management
University of Waterloo,Management Engineering
University of British Columbia - Okanagan Campus,Manufacturing Engineering
University of British Columbia - Vancouver Campus,Manufacturing Engineering
University of British Columbia - Vancouver Campus,Materials Engineering
University of Waterloo,Mechanical Engineering
University of British Columbia - Vancouver Campus,Mechanical Engineering
University of Ottawa,Mechanical Engineering
University of British Columbia - Okanagan Campus,Mechanical Engineering
University of Waterloo,Mechatronics Engineering
University of British Columbia - Vancouver Campus,Mining  Engineering
University of Waterloo,Nanotechnology Engineering
Toronto Metropolitan University (formerly Ryerson University) ,Occupational Health and Safety
University of Regina,Petroleum Systems Engineering
Olds College,Production Management
Toronto Metropolitan University (formerly Ryerson University) ,Public Health and Safety
University of Ottawa,Software Engineering
University of Waterloo,Software Engineering
University of Regina,Software Systems Engineering
Simon Fraser University,Sustainable Energy engineering
University of Waterloo,Systems Design Engineering
Simon Fraser University,Systems Engineering
Conestoga College,Architecture - Project and Facility Management
McMaster University,Automotive & Vehicle Technology
Seneca College,Aviation Technology
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Automation and Robotics (Honours)
George Brown College,Bachelor of Technology - Construction Management
McMaster University,Biotechnology
McMaster University,Civil Engineering Infrastructure Technology
Red River College,Construction Management
Southern Alberta Institute of Technology (SAIT),Geographic Information Systems (GIS)
Humber College,Industrial Design
Seneca College,Informatics & Security
Conestoga College,Interior Design
Humber College,Interior Design
McMaster University,Manufacturing Engineering Technology
Memorial University of Newfoundland,Ocean Instrumentation
Memorial University of Newfoundland,Ocean Mapping
McMaster University,Power And Energy Engineering Technology
Seneca College,Software Development
McMaster University,Software Engineering Technology
Memorial University of Newfoundland,Underwater Vehicles
Dalhousie University,Bachelor of Environmental Design
Concordia University of Montreal,Actuarial mathematics
University of Toronto,Actuarial Science
University of Calgary,Anthropology
Concordia University of Montreal,Anthropology
Brandon University,Applied Disaster and Emergency Studies
University of Lethbridge,Applied Statistics
Quest University Canada,Arts & Sciences
Quest University Canada,Arts
University of Waterloo,Bachelor of Accounting and Financial Management
Concordia University of Montreal,Biochemistry
Quest University Canada,Biology
Concordia University of Montreal,"Biology, Ecology"
University of Toronto,Commerce / Business
Concordia University of Montreal,Computational Art and Design Art
Quest University Canada,Development Studies
York University,Digital Media
Quest University Canada,Earth Sciences
Quest University Canada,Ecology
MacEwan University,Economics
St. Francis Xavier University,Economics
Quest University Canada,Economics
St. Francis Xavier University,Economics
Quest University Canada,English-Literature
St. Francis Xavier University,Environmental studies
Quest University Canada,Environmental Studies
St. Francis Xavier University,Environmental Studies
Lakehead University,Environmental Sustainability
University of Victoria,Geographic Information Technology
Quest University Canada,"Geography, Planning and Geographic Information Systems"
University of Regina,"Geography, Planning and Geographic Information Systems"
Quest University Canada,Geology
Quest University Canada,Global Studies
St. Francis Xavier University,Health Sciences
St. Francis Xavier University,Health Sciences
University of Toronto,Health Studies
Quest University Canada,History
Quest University Canada,Humanities
Queen's University,Indigenous Studies
Simon Fraser University,Interactive Arts & Technology
Quest University Canada,International Studies
Concordia University of Montreal,Journalism
Quest University Canada,Languages & Literature
Quest University Canada,Liberal Arts
University of Toronto,Life Sciences
St. Francis Xavier University,Math
St. Francis Xavier University,Math
Quest University Canada,Mathematics
Queen's University,Media & Performance Production
Quest University Canada,Music & Culture
Quest University Canada,Natural Sciences
University of Guelph,One Health
Quest University Canada,Philosophy
Quest University Canada,Physical Sciences
Concordia University of Montreal,Physics and Biophysics
Quest University Canada,Physics
Quest University Canada,Political Science
Concordia University of Montreal,Political Science
Quest University Canada,Psychology
Concordia University of Montreal,Pure and Applied Mathematics
Quest University Canada,Religious Studies
Quest University Canada,Science
Quest University Canada,Social Sciences
Concordia University of Montreal,Statistics
University of Waterloo,Sustainability and Financial Management Co-op
University of Victoria,Visual Arts and Computer Science
Trent University - Peterborough Campus,Ancient Greek & Roman Studies
McMaster University,Anthropology
Trent University - Peterborough Campus,Arts & Sciences
Trent University - Peterborough Campus,Canadian Studies
Trent University - Peterborough Campus,Cultural Studies
Trent University - Peterborough Campus,Economics
Trent University - Peterborough Campus,English Literature
Trent University - Peterborough Campus,French & Franocphone Studies
Trent University - Peterborough Campus,Gender & Social Justice
McMaster University,Geography & Earth Sciences
Carleton University,Global and International Studies
McMaster University,"Health, Aging & Society"
Trent University - Peterborough Campus,History
Trent University - Peterborough Campus,Indigenous Environmental Studies
Trent University - Peterborough Campus,Indigenous Studies
University of the Fraser Valley,Integrated Studies
Huron at Western University,Interdisciplinary Studies
Trent University - Peterborough Campus,International Development Studies
McMaster University,Labour Studies
Trent University - Peterborough Campus,Media Studies
Trent University - Peterborough Campus,Philosophy
McMaster University,Political Science
Trent University - Peterborough Campus,Political Studies
McMaster University,Psychology
McMaster University,Religious Studies
McMaster University,Sociology
Trent University - Peterborough Campus,Sociology
OCAD University,Aboriginal Visual Culture
University of Waterloo,Accounting and Financial Management
University of British Columbia - Vancouver Campus,Acting
Wilfrid Laurier University,Administration
OCAD University,Advertising
McGill University ,African Studies
University of Lethbridge,Agricultural Studies
University of Calgary,Ancient and Medieval History
Cape Breton University,Anthropology and Sociology
University of the Fraser Valley,Anthropology
University of Victoria,Anthropology
University of British Columbia - Okanagan Campus,Anthropology
University of Northern British Columbia,Anthropology
Simon Fraser University,Anthropology
Wilfrid Laurier University,Anthropology
Carleton University,Anthropology
University of Lethbridge,Anthropology
McGill University ,Anthropology
University of British Columbia - Vancouver Campus,Anthropology
University of Regina,Anthropology
University of Guelph,Anthropology
University of Alberta,Anthropology
Brandon University,Applied Disaster & Emergency Studies (ADES)
University of Waterloo,Applied Economics
Queen's University,Applied Economics
University of Victoria,Applied Linguistics
University of Lethbridge,Archaeology & Geography
Wilfrid Laurier University,Archaeology and Heritage Studies
Simon Fraser University,Archaeology
University of Calgary,Archaeology
University of Lethbridge,Archaeology
Memorial University of Newfoundland,Archaeology
University of Alberta,Art & Design
University of British Columbia - Okanagan Campus,Art History & Visual Culture
University of Victoria,Art History and Visual Studies
Concordia University of Montreal,Art History
Queen's University,Art History
University of British Columbia - Vancouver Campus,"Art History, Visual Art and Theory"
University of Lethbridge,Art
University of Waterloo,Arts and Business
University of Prince Edward Island,Arts
University of Toronto,Asia Pacific Studies
University of British Columbia - Vancouver Campus,Asian Languages & Culture
University of British Columbia - Vancouver Campus,Asian Studies
Mount Saint Vincent University,Bachelor of Arts (Public Policy)
St. Clair College - Windsor Campus,Bachelor Of Arts In Social Justice And Legal Studies Professional Practice C999
St. Lawrence College of Applied Arts and Technology,Behavioural Psychology
York University,Business & Society
Redeemer University,Business - Marketing
Redeemer University,Business Accounting
Redeemer University,Business Management
University of Calgary,Canadian Studies
University of British Columbia - Vancouver Campus,Canadian Studies
McGill University ,Canadian Studies
University of Lethbridge,Canadian Studies
University of Manitoba,"Central and East European Studies, B.A. Single Advanced - Co-op"
University of Toronto,City Studies
Queen's University,Classical Studies
University of British Columbia - Vancouver Campus,"Classical, Near Eastern & Religious Studies"
University of Waterloo,Classics 
Simon Fraser University,Cognitive Science 
University of British Columbia - Vancouver Campus,Cognitive Systems
University of Waterloo,Communication Arts & Design 
Simon Fraser University,Communication
University of Ottawa,Communication
Cape Breton University,Communication
Trinity Western University,Communications - Journalism
Trinity Western University,Communications - Public Relations
University of Calgary,Communications and Media Studies
York University,Communications Studies
Wilfrid Laurier University,Communications Studies
Kwantlen Polytechnic University,Community Criminal Justice and Criminology
Laurentian University,Computer Science 
University of British Columbia - Okanagan Campus,Computer Science 
St. Francis Xavier University,Computer Sciences
St. Francis Xavier University,Computer Sciences
Queen's University,Computing & the Creative Arts
Brock University,Concentration in Production and Design
Saint-Paul University,Conflict Studies
University of Toronto,Creative Industries
Toronto Metropolitan University ,Creative Industries
University of British Columbia - Vancouver Campus,Creative Writing
University of Guelph,Criminal Justice and Public Policy
University of the Fraser Valley,Criminal Justice
Simon Fraser University,Criminology
OCAD University,Criticism and Curatorial Practice
OCAD University,Cross-Disciplinary Art
Wilfrid Laurier University,Cultural Studies
University of British Columbia - Okanagan Campus,Cultural Studies
University of Guelph,Culture and Technology Studies
OCAD University,Digital Futures Initiative
Queen's University,Drama
Cape Breton University,Drama
University of Alberta,Drama
University of Lethbridge,Dramatic Arts
Brock University,Dramatic Arts
OCAD University,Drawing & Painting
University of Calgary,East Asian Language Studies
University of Calgary,East Asian Studies
McGill University ,East Asian Studies
University of Alberta,East Asian Studies
University of Waterloo,Economics 
University of Victoria,Economics (Finance Option)
Carleton University,Economics / Applied Economics
University of Victoria,Economics and Business
University of Victoria,Economics and Business
University of Winnipeg,Economics and Finance
University of Winnipeg,Economics
Memorial University of Newfoundland,Economics
University of British Columbia - Okanagan Campus,Economics
University of Guelph,Economics
University of Northern British Columbia,Economics
Simon Fraser University,Economics
Concordia University of Montreal,Economics
Acadia University,Economics
University of Lethbridge,Economics
University of Regina,Economics
University of Calgary,Economics
University of New Brunswick - Fredericton Campus,Economics
University of Alberta,Economics
McGill University ,Economics
Queen's University,Economics
McMaster University,Economics
University of British Columbia - Vancouver Campus,Economics
University of Victoria,Economics
Wilfrid Laurier University,Economics
University of Manitoba,"Economics, B.A. Single Advanced - Co-op"
University of Manitoba,"Economics, B.A. Single Advanced - Co-op"
University of Manitoba,"Economics, B.A. Single Honours - Co-op"
University of Alberta,English & Film Studies
University of Victoria,English & French Canadian Literature
University of Waterloo,English - Literature and Rhetoric
University of Waterloo,English - Rhetoric and Professional Writing
Wilfrid Laurier University,English and Film Studies
University of Victoria,English and French
University of Victoria,English and Medieval Studies
Queen's University,English Language & Literature
University of Waterloo,English Media and Professional Communication 
University of British Columbia - Okanagan Campus,English
University of the Fraser Valley,English
University of Northern British Columbia,English
Simon Fraser University,English
Trinity Western University,English
Carleton University,English
Acadia University,English
University of Lethbridge,English
University of Calgary,English
Cape Breton University,English
University of Ottawa,English
University of Toronto,English
University of Victoria,English
McGill University ,English
Toronto Metropolitan University (formerly Ryerson University) ,English
University of Regina,English
University of British Columbia - Vancouver Campus,English
University of Waterloo,English-Literature
Acadia University,Environment and Sustainability Studies
OCAD University,Environmental Design
University of Guelph,Environmental Governance
University of Victoria,Environmental Studies and Applied Linguistics
University of Victoria,Environmental Studies and English
University of Victoria,Environmental Studies and German
University of Victoria,Environmental Studies and Hispanic Studies
University of Victoria,Environmental Studies and History
University of Victoria,Environmental Studies and Linguistics
University of Victoria,Environmental Studies and Mathematics
University of Victoria,Environmental Studies and Pacific Studies
University of Victoria,Environmental Studies and Philosophy
University of Victoria,Environmental Studies and Statistics
Wilfrid Laurier University,Environmental Studies
University of Victoria,Environmental Studies
University of Northern British Columbia,Environmental Studies
University of Ottawa,Environmental Studies
Carleton University,Environmental Studies
Queen's University,Environmental Studies
Saint-Paul University,Ethics and Contemporary Social Issues
Carleton University,European and Russian Studies
University of Lethbridge,Exercise Science
Queen's University,Film & Media
University of British Columbia - Vancouver Campus,Film Production
University of Calgary,Film Studies
University of British Columbia - Vancouver Campus,Film Studies
Brock University,Film Studies
Brock University,Film Studies
Wilfrid Laurier University,Finance and Accounting
Algoma University,Finance and Economics
University of Waterloo,Fine Arts Studio Practice 
University of Waterloo,Fine Arts Visual Culture 
Simon Fraser University,First Nation Studies
University of British Columbia - Vancouver Campus,First Nations & Indigenous Studies
University of Guelph,"Food, Agricultural and Resource Economics"
University of Victoria,Francophone Studies
University of Waterloo,French 
University of British Columbia - Okanagan Campus,French & Spanish
University of Victoria,French and Francophone Studies
Queen's University,French Studies
University of Waterloo,French Teaching 
University of British Columbia - Okanagan Campus,French
Wilfrid Laurier University,French
Carleton University,French
University of Calgary,French
University of Toronto,French
Acadia University,French
Simon Fraser University,French
University of British Columbia - Vancouver Campus,"French, Hispanic, and Italian Studies"
University of Calgary,Gender and Sexuality Studies
University of Waterloo,Gender and Social Justice 
University of British Columbia - Okanagan Campus,Gender and Women's Studies
University of Victoria,Gender Studies
Queen's University,Gender Studies
University of British Columbia - Vancouver Campus,"Gender, Race, Sexuality & Social Justice"
Simon Fraser University,"Gender, Sexuality and Women's Studies"
McGill University ,"Gender, Sexuality, Feminist and Social Justice Studies"
University of Northern British Columbia,General Arts
University of Lethbridge,General Major Social Sciences
University of British Columbia - Okanagan Campus,General Studies
University of Regina,General
Cape Breton University,General
Toronto Metropolitan University (formerly Ryerson University) ,Geographic Analysis
University of British Columbia - Vancouver Campus,Geographic Information Systems (GIS)
Wilfrid Laurier University,Geography & Geomatics
University of British Columbia - Vancouver Campus,Geography - Environment & Sustainability
University of Regina,Geography
University of Calgary,Geography
University of Fredericton,Geography
University of Guelph,Geography
Carleton University,Geography
Brock University,Geography
Queen's University,Geography
Brandon University,Geography
University of Victoria,Geography
University of Victoria,"Geography, Planning and Geographic Information Systems"
Wilfrid Laurier University,"Geography, Planning and Geographic Information Systems"
University of Lethbridge,"Geography, Planning and Geographic Information Systems"
University of the Fraser Valley,"Geography, Planning and Geographic Information Systems"
University of British Columbia - Okanagan Campus,"Geography, Planning and Geographic Information Systems"
University of Ottawa,"Geography, Planning and Geographic Information Systems"
Carleton University,Geomatics
Queen's University,German Studies
McGill University ,German Studies
Acadia University,German
University of British Columbia - Vancouver Campus,German
University of Waterloo,German
University of Calgary,German
University of Manitoba,"German, B.A. Single Advanced - Co-op"
University of Manitoba,"German, B.A. Single Honours Co-op"
University of Victoria,Germanic Studies
University of Waterloo,Global Business and Digital Arts
Queen's University,Global Development Studies
University of Calgary,Global Development Studies
Wilfrid Laurier University,Global Studies (International Development)
OCAD University,Graphic Design
University of Victoria,Greek and Latin Language and Literature
University of Victoria,Greek and Latin Language and Literature
University of Victoria,Greek and Roman Studies
University of Calgary,Greek and Roman Studies
Simon Fraser University,Health Sciences
Queen's University,Health Studies
University of Victoria,Hispanic and Italian Studies
McGill University ,Hispanic Studies 
Queen's University,Hispanic Studies
University of Victoria,Hispanic Studies
University of Alberta,History & Classics
University of Manitoba,History Co-op
University of Guelph,History
Toronto Metropolitan University (formerly Ryerson University) ,History
University of Victoria,History
Simon Fraser University,History
Wilfrid Laurier University,History
University of Waterloo,History
University of Regina,History
University of Calgary,History
University of British Columbia - Vancouver Campus,History
McGill University ,History
Queen's University,History
University of British Columbia - Okanagan Campus,History
University of Northern British Columbia,History
Carleton University,History
Acadia University,History
University of the Fraser Valley,History
University of Toronto,History
University of Lethbridge,History
University of Ottawa,History
Cape Breton University,History
Brandon University,History
University of Manitoba,"History, B.A. Single Advanced - Co-op"
University of Manitoba,"History, B.A. Single Honours - Co-op"
University of Waterloo,Honours Arts
Simon Fraser University,Human Geography
University of Alberta,Human Geography
Saint-Paul University,Human Relations
Simon Fraser University,Humanities
OCAD University,Illustration
University of Regina,Indigenous Studies
Cape Breton University,Indigenous Studies
OCAD University,Industrial Design
McGill University ,Industrial Relations
Algoma University,Information Technology
OCAD University,Integrated Media
University of British Columbia - Vancouver Campus,Interdisciplinary Studies
Mount Royal University,Interior Design
University of British Columbia - Okanagan Campus,Internal Relations
McGill University ,International Development Studies
University of Guelph,International Development Studies
University of Toronto,International Development Studies
Toronto Metropolitan University (formerly Ryerson University) ,International Economics and Finance - Co-op
Toronto Metropolitan University (formerly Ryerson University) ,International Economics and Finance - Internship
University of British Columbia - Vancouver Campus,International Economics
University of Calgary,International Indigenous Studies
University of Regina,International Languages
University of British Columbia - Vancouver Campus,International Relations
University of Calgary,International Relations
Simon Fraser University,International Studies
University of British Columbia - Okanagan Campus,International Studies
University of Regina,International Studies
Trinity Western University,International Studies
University of Northern British Columbia,International Studies
University of the Fraser Valley,International Studies
University of Calgary,Italian Studies
University of Victoria,Italian Studies
McGill University ,Italian Studies
University of Guelph,Justice and Legal Studies
University of Lethbridge,Kinesiology and Physical Education
Wilfrid Laurier University,Kinesiology and Physical Education
University of Manitoba,Labour Studies
Brock University,Labour Studies
University of Manitoba,"Labour Studies, B.A. Single Advanced - Co-op"
University of Victoria,Language and Literature
Wilfrid Laurier University,Languages & Literature
Queen's University,"Languages, Literatures & Cultures"
University of British Columbia - Vancouver Campus,Latin American Studies
University of Victoria,Latin American Studies
University of Calgary,Latin American Studies
University of Calgary,Law and Society
Carleton University,Law
University of Waterloo,Legal Studies 
University of Ottawa,Lettres françaises
University of Waterloo,Liberal Studies
University of Calgary,Linguistics and Language
University of British Columbia - Vancouver Campus,Linguistics
University of Regina,Linguistics
University of Calgary,Linguistics
Queen's University,Linguistics
University of Toronto,Linguistics
Simon Fraser University,Linguistics
Trinity Western University,Linguistics
University of Victoria,Linguistics
University of Alberta,Linguistics
University of Manitoba,"Linguistics, B.A. Single Advanced - Co-op"
University of Manitoba,"Linguistics, B.A. Single Honours - Co-op"
OCAD University,Material Art & Design
University of Guelph,Mathematical Economics
University of the Fraser Valley,Mathematics
University of Victoria,Mathematics
Lakehead University,Mathematics
